cf_type,addr,target,bpu_hit_uc_hit,bpu_hit_uc_miss,mispred_uc_hit,mispred_uc_miss,misfetch_uc_hit,misfetch_uc_miss,btb_miss_uc_hit,btb_miss_uc_miss,other_recovery_uc_hit,other_recovery_uc_miss,recover_redirect_extra_fetch_latency
7,7f585b570f90,7f585b55f2e3,0,18,0,0,0,0,0,0,0,0,0
2,7f585b559790,0,0,18,0,0,0,0,0,0,0,0,0
1,7f585b5597cd,7f585b558aa8,18,0,0,0,0,0,1,0,0,0,0
2,7f585b559785,0,0,18,0,0,0,0,0,0,0,0,0
2,7f585b5597c4,0,0,18,0,0,0,0,0,0,0,0,0
7,7f585b550bbe,7f585b4cf949,47,1061,0,0,0,0,0,0,0,0,0
3,7f585b5597b7,7f585b554700,0,18,0,0,0,0,0,1,0,0,2
2,7f585b5597f5,0,0,977,0,0,0,0,0,0,0,0,0
2,7f585b5597e9,0,0,977,0,0,0,0,0,0,0,0,0
2,7f585b5593a1,7f585b558d30,192,4499,0,0,0,0,0,355,0,0,710
2,7f585b5597a6,0,0,18,0,0,0,0,0,0,0,0,0
2,7f585b55885a,7f585b558c18,970,1889,0,2,0,0,0,1,0,0,6
3,7f585b55085f,7f585b550520,17,1,0,0,0,0,0,1,0,0,2
2,7f585b558851,7f585b558790,1031,3360,0,9,0,0,0,1,0,0,20
2,7f585b570010,7f585b570130,0,18,0,0,0,0,0,1,0,0,2
1,7f585b570416,7f585b570360,0,552,0,0,0,0,0,1,0,0,2
3,7f585b57040b,7f585babdbe0,269,283,0,0,0,0,0,1,0,0,2
2,7f585b55880d,0,616,12635,0,0,0,0,0,0,0,0,0
2,7f585b57044c,0,0,18,0,0,0,0,0,0,0,0,0
2,7f585b570843,0,2,298,0,0,0,0,0,0,0,0,0
2,7f585b558801,0,573,9187,0,0,0,0,0,0,0,0,0
2,7f585b558846,7f585b558765,869,7997,0,14,0,0,0,1,0,0,30
2,7f585b550844,7f585b550857,0,18,0,0,0,0,0,1,0,0,2
2,7f585b57047a,0,0,18,0,0,0,0,0,0,0,0,0
2,7f585b4d0038,0,3658,9118,0,0,0,0,0,0,0,0,0
2,7f585b570838,7f585b57083a,2,310,0,1,0,0,0,1,0,0,4
1,7f585b558c3f,7f585b55887e,106,893,0,0,0,0,0,1,0,0,2
2,7f585b4d007c,0,321,435,0,0,0,0,0,0,0,0,0
3,7f585b57043c,7f585b56b4f0,16,2,0,0,0,0,0,1,0,0,2
3,7f585b57047c,7f585baccf80,2,16,0,0,0,0,1,0,0,0,0
2,7f585b4d0031,0,3658,9118,0,0,0,0,0,0,0,0,0
3,7f585b558c37,7f585b5688f0,98,901,0,0,0,0,0,1,0,0,2
3,7f585b558876,7f585b568440,1092,768,0,0,0,0,0,1,0,0,2
1,7f585b570c76,7f585b570689,0,18,0,0,0,0,0,2,0,0,4
1,7f585b470c36,7f585b470a48,0,105,0,0,0,0,0,1,0,0,2
3,7f585b558835,7f585baccf80,3619,5247,0,0,0,0,0,1,0,0,2
3,7f585b570829,7f585babb4c0,17,295,0,0,0,0,0,16,0,0,32
2,7f585b558c29,0,153,846,0,0,0,0,0,0,0,0,0
3,7f585b558828,7f585baccf80,3555,5311,0,0,0,0,0,1,0,0,2
2,7f585b4d002c,0,3658,9118,0,0,0,0,0,0,0,0,0
2,7f585b558863,0,847,1013,0,0,0,0,0,0,0,0,0
2,7f585b550823,0,0,18,0,0,0,0,0,0,0,0,0
3,7f585b570821,7f585b56f770,0,312,0,0,0,0,0,1,0,0,2
3,7f585b570465,7f585b5586b0,0,18,0,0,0,0,0,1,0,0,2
1,7f585b550864,7f585b5507c1,0,18,0,0,0,0,0,1,0,0,2
3,7f585b5588db,7f585b555580,115,8411,0,0,0,0,0,26,0,0,52
2,7f585b57009b,7f585b56ff00,1,17,0,0,0,0,1,0,0,0,0
3,7f585b57049a,7f585b554700,0,18,0,0,0,0,0,1,0,0,2
3,7f585b570898,7f585b56b4f0,270,42,0,0,0,0,249,35,0,0,70
2,7f585b470cdd,7f585b470d28,305,5825,0,1,0,0,0,2,0,0,6
3,7f585b5708d1,7f585baccf80,286,26,0,0,0,0,0,1,0,0,2
2,7f585b558890,7f585b558aa8,2601,258,1,1,0,0,17,6,0,0,14
2,7f585b570c96,0,2,292,0,0,0,0,0,0,0,0,0
2,7f585b5700d5,0,0,18,0,0,0,0,0,0,0,0,0
2,7f585b5708cb,0,1,311,0,0,0,0,0,0,0,0,0
3,7f585b570c8b,7f585b56b4f0,281,13,0,0,0,0,0,1,0,0,2
3,7f585b5700ca,7f585b5586b0,14,4,0,0,0,0,0,1,0,0,2
2,7f585b570cc9,7f585b570b55,0,294,0,0,0,0,0,64,0,0,128
2,7f585b570488,7f585b570228,0,18,0,0,0,0,0,1,0,0,2
2,7f585b470ccd,0,306,5824,0,0,0,0,0,1,0,0,2
2,7f585b4d0083,0,319,437,0,0,0,0,0,0,0,0,0
2,7f585b558881,0,268,2591,0,0,0,0,0,0,0,0,0
