ICACHE_STAGE_OFF_PATH_total_mean,         0.17
ICACHE_STAGE_OFF_PATH_total_stddev,         0.34

DECODE_STAGE_STARVED_count,     155249481
DECODE_STAGE_STARVED_pct,      100.000
DECODE_STAGE_STARVED_total_count,     155249481
DECODE_STAGE_STARVED_total_pct,      100.000

DECODE_STAGE_NOT_STARVED_count,            18
DECODE_STAGE_NOT_STARVED_pct,        0.000
DECODE_STAGE_NOT_STARVED_total_count,            18
DECODE_STAGE_NOT_STARVED_total_pct,        0.000
DECODE_STAGE_NOT_STARVED_sum_count,     155249499
DECODE_STAGE_NOT_STARVED_sum_pct,      100.000
DECODE_STAGE_NOT_STARVED_sum_total_count,     155249499
DECODE_STAGE_NOT_STARVED_sum_total_pct,      100.000
DECODE_STAGE_NOT_STARVED_mean,         0.00
DECODE_STAGE_NOT_STARVED_stddev,         0.00
DECODE_STAGE_NOT_STARVED_total_mean,         0.00
DECODE_STAGE_NOT_STARVED_total_stddev,         0.00

DECODE_STAGE_STALLED_count,             0
DECODE_STAGE_STALLED_pct,        0.000
DECODE_STAGE_STALLED_total_count,             0
DECODE_STAGE_STALLED_total_pct,        0.000

DECODE_STAGE_NOT_STALLED_count,     155249499
DECODE_STAGE_NOT_STALLED_pct,      100.000
DECODE_STAGE_NOT_STALLED_total_count,     155249499
DECODE_STAGE_NOT_STALLED_total_pct,      100.000

DECODE_STAGE_OFF_PATH_count,           695
DECODE_STAGE_OFF_PATH_pct,        0.000
DECODE_STAGE_OFF_PATH_total_count,           695
DECODE_STAGE_OFF_PATH_total_pct,        0.000
DECODE_STAGE_OFF_PATH_sum_count,     155250194
DECODE_STAGE_OFF_PATH_sum_pct,      100.000
DECODE_STAGE_OFF_PATH_sum_total_count,     155250194
DECODE_STAGE_OFF_PATH_sum_total_pct,      100.000
DECODE_STAGE_OFF_PATH_mean,         1.00
DECODE_STAGE_OFF_PATH_stddev,         0.00
DECODE_STAGE_OFF_PATH_total_mean,         1.00
DECODE_STAGE_OFF_PATH_total_stddev,         0.00

UOPQ_STAGE_STARVED_count,           543
UOPQ_STAGE_STARVED_pct,        0.002
UOPQ_STAGE_STARVED_total_count,           543
UOPQ_STAGE_STARVED_total_pct,        0.002

UOPQ_STAGE_NOT_STARVED_count,      25668477
UOPQ_STAGE_NOT_STARVED_pct,       99.998
UOPQ_STAGE_NOT_STARVED_total_count,      25668477
UOPQ_STAGE_NOT_STARVED_total_pct,       99.998
UOPQ_STAGE_NOT_STARVED_sum_count,      25669020
UOPQ_STAGE_NOT_STARVED_sum_pct,      100.000
UOPQ_STAGE_NOT_STARVED_sum_total_count,      25669020
UOPQ_STAGE_NOT_STARVED_sum_total_pct,      100.000
UOPQ_STAGE_NOT_STARVED_mean,         1.00
UOPQ_STAGE_NOT_STARVED_stddev,         1.00
UOPQ_STAGE_NOT_STARVED_total_mean,         1.00
UOPQ_STAGE_NOT_STARVED_total_stddev,         1.00

UOPQ_STAGE_STALLED_count,     129580501
UOPQ_STAGE_STALLED_pct,       83.466
UOPQ_STAGE_STALLED_total_count,     129580501
UOPQ_STAGE_STALLED_total_pct,       83.466

UOPQ_STAGE_NOT_STALLED_count,      25669020
UOPQ_STAGE_NOT_STALLED_pct,       16.534
UOPQ_STAGE_NOT_STALLED_total_count,      25669020
UOPQ_STAGE_NOT_STALLED_total_pct,       16.534

UOPQ_STAGE_OFF_PATH_count,           673
UOPQ_STAGE_OFF_PATH_pct,        0.000
UOPQ_STAGE_OFF_PATH_total_count,           673
