Core, 0
DECODE_STAGE_OFF_PATH_total_stddev,         0.41

UOPQ_STAGE_STARVED_count,       4781140
UOPQ_STAGE_STARVED_pct,       16.692
UOPQ_STAGE_STARVED_total_count,       4781140
UOPQ_STAGE_STARVED_total_pct,       16.692

UOPQ_STAGE_NOT_STARVED_count,      23862621
UOPQ_STAGE_NOT_STARVED_pct,       83.308
UOPQ_STAGE_NOT_STARVED_total_count,      23862621
UOPQ_STAGE_NOT_STARVED_total_pct,       83.308
UOPQ_STAGE_NOT_STARVED_sum_count,      28643761
UOPQ_STAGE_NOT_STARVED_sum_pct,      100.000
UOPQ_STAGE_NOT_STARVED_sum_total_count,      28643761
UOPQ_STAGE_NOT_STARVED_sum_total_pct,      100.000
UOPQ_STAGE_NOT_STARVED_mean,         0.83
UOPQ_STAGE_NOT_STARVED_stddev,         0.78
UOPQ_STAGE_NOT_STARVED_total_mean,         0.83
UOPQ_STAGE_NOT_STARVED_total_stddev,         0.78

UOPQ_STAGE_STALLED_count,         10806
UOPQ_STAGE_STALLED_pct,        0.034
UOPQ_STAGE_STALLED_total_count,         10806
UOPQ_STAGE_STALLED_total_pct,        0.034

UOPQ_STAGE_NOT_STALLED_count,      28643761
UOPQ_STAGE_NOT_STALLED_pct,       89.211
UOPQ_STAGE_NOT_STALLED_total_count,      28643761
UOPQ_STAGE_NOT_STALLED_total_pct,       89.211

UOPQ_STAGE_OFF_PATH_count,       3453339
UOPQ_STAGE_OFF_PATH_pct,       10.755
UOPQ_STAGE_OFF_PATH_total_count,       3453339
UOPQ_STAGE_OFF_PATH_total_pct,       10.755
UOPQ_STAGE_OFF_PATH_sum_count,      32107906
UOPQ_STAGE_OFF_PATH_sum_pct,      100.000
UOPQ_STAGE_OFF_PATH_sum_total_count,      32107906
UOPQ_STAGE_OFF_PATH_sum_total_pct,      100.000
UOPQ_STAGE_OFF_PATH_mean,         1.11
UOPQ_STAGE_OFF_PATH_stddev,         0.48
UOPQ_STAGE_OFF_PATH_total_mean,         1.11
UOPQ_STAGE_OFF_PATH_total_stddev,         0.48

MAP_STAGE_STARVED_count,       1123217
MAP_STAGE_STARVED_pct,        3.830
MAP_STAGE_STARVED_total_count,       1123217
MAP_STAGE_STARVED_total_pct,        3.830

MAP_STAGE_NOT_STARVED_count,      28204036
MAP_STAGE_NOT_STARVED_pct,       96.170
MAP_STAGE_NOT_STARVED_total_count,      28204036
MAP_STAGE_NOT_STARVED_total_pct,       96.170
MAP_STAGE_NOT_STARVED_sum_count,      29327253
MAP_STAGE_NOT_STARVED_sum_pct,      100.000
MAP_STAGE_NOT_STARVED_sum_total_count,      29327253
MAP_STAGE_NOT_STARVED_sum_total_pct,      100.000
MAP_STAGE_NOT_STARVED_mean,         0.96
MAP_STAGE_NOT_STARVED_stddev,         0.94
MAP_STAGE_NOT_STARVED_total_mean,         0.96
MAP_STAGE_NOT_STARVED_total_stddev,         0.94

MAP_STAGE_STALLED_count,         17732
MAP_STAGE_STALLED_pct,        0.055
MAP_STAGE_STALLED_total_count,         17732
MAP_STAGE_STALLED_total_pct,        0.055

MAP_STAGE_NOT_STALLED_count,      29309521
MAP_STAGE_NOT_STALLED_pct,       91.284
MAP_STAGE_NOT_STALLED_total_count,      29309521
MAP_STAGE_NOT_STALLED_total_pct,       91.284

MAP_STAGE_OFF_PATH_count,       2780653
MAP_STAGE_OFF_PATH_pct,        8.660
MAP_STAGE_OFF_PATH_total_count,       2780653
MAP_STAGE_OFF_PATH_total_pct,        8.660
MAP_STAGE_OFF_PATH_sum_count,      32107906
MAP_STAGE_OFF_PATH_sum_pct,      100.000
MAP_STAGE_OFF_PATH_sum_total_count,      32107906
MAP_STAGE_OFF_PATH_sum_total_pct,      100.000
MAP_STAGE_OFF_PATH_mean,         1.09
MAP_STAGE_OFF_PATH_stddev,         0.43
MAP_STAGE_OFF_PATH_total_mean,         1.09
MAP_STAGE_OFF_PATH_total_stddev,         0.43

EXEC_STAGE_STARVED_count,      27073328
EXEC_STAGE_STARVED_pct,       84.320
EXEC_STAGE_STARVED_total_count,      27073328
EXEC_STAGE_STARVED_total_pct,       84.320

EXEC_STAGE_NOT_STARVED_count,       3228268
EXEC_STAGE_NOT_STARVED_pct,       10.054
EXEC_STAGE_NOT_STARVED_total_count,       3228268
EXEC_STAGE_NOT_STARVED_total_pct,       10.054

EXEC_STAGE_OFF_PATH_count,       1806310
EXEC_STAGE_OFF_PATH_pct,        5.626
EXEC_STAGE_OFF_PATH_total_count,       1806310
EXEC_STAGE_OFF_PATH_total_pct,        5.626
EXEC_STAGE_OFF_PATH_sum_count,      32107906
EXEC_STAGE_OFF_PATH_sum_pct,      100.000
EXEC_STAGE_OFF_PATH_sum_total_count,      32107906
EXEC_STAGE_OFF_PATH_sum_total_pct,      100.000
EXEC_STAGE_OFF_PATH_mean,         0.21
EXEC_STAGE_OFF_PATH_stddev,         0.49
EXEC_STAGE_OFF_PATH_total_mean,         0.21
EXEC_STAGE_OFF_PATH_total_stddev,         0.49

FU_BUSY_0_count,      30285187
FU_BUSY_0_total_count,      30285187

FU_BUSY_1_count,      24300698
FU_BUSY_1_total_count,      24300698

FU_BUSY_2_count,      16549246
FU_BUSY_2_total_count,      16549246

FU_BUSY_3_count,      14518136
FU_BUSY_3_total_count,      14518136

FU_BUSY_4_count,      14687083
FU_BUSY_4_total_count,      14687083

FU_BUSY_5_count,      16841275
FU_BUSY_5_total_count,      16841275

FU_BUSY_6_count,       9601918
FU_BUSY_6_total_count,       9601918

FU_BUSY_7_count,      10242472
FU_BUSY_7_total_count,      10242472

FU_BUSY_8_count,             0
FU_BUSY_8_total_count,             0

FU_BUSY_9_count,             0
FU_BUSY_9_total_count,             0

FU_BUSY_10_count,             0
FU_BUSY_10_total_count,             0

FU_BUSY_11_count,             0
FU_BUSY_11_total_count,             0

FU_BUSY_12_count,             0
FU_BUSY_12_total_count,             0

FU_BUSY_13_count,             0
FU_BUSY_13_total_count,             0

FU_BUSY_14_count,             0
FU_BUSY_14_total_count,             0

FU_BUSY_15_count,             0
FU_BUSY_15_total_count,             0

FU_BUSY_16_count,             0
FU_BUSY_16_total_count,             0

FU_BUSY_17_count,             0
FU_BUSY_17_total_count,             0

FU_BUSY_18_count,             0
FU_BUSY_18_total_count,             0

FU_BUSY_19_count,             0
FU_BUSY_19_total_count,             0

FU_BUSY_20_count,             0
FU_BUSY_20_total_count,             0

FU_BUSY_21_count,             0
FU_BUSY_21_total_count,             0

FU_BUSY_22_count,             0
FU_BUSY_22_total_count,             0

FU_BUSY_23_count,             0
FU_BUSY_23_total_count,             0

FU_BUSY_24_count,             0
FU_BUSY_24_total_count,             0

FU_BUSY_25_count,             0
FU_BUSY_25_total_count,             0

FU_BUSY_26_count,             0
FU_BUSY_26_total_count,             0

FU_BUSY_27_count,             0
FU_BUSY_27_total_count,             0

FU_BUSY_28_count,             0
FU_BUSY_28_total_count,             0

FU_BUSY_29_count,             0
FU_BUSY_29_total_count,             0

FU_BUSY_30_count,             0
FU_BUSY_30_total_count,             0

FU_BUSY_31_count,             0
FU_BUSY_31_total_count,             0

FU_REJECTED_OP_INV_NOT_SIMD_count,             0
FU_REJECTED_OP_INV_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_INV_NOT_SIMD_total_count,             0
FU_REJECTED_OP_INV_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_NOP_NOT_SIMD_count,             0
FU_REJECTED_OP_NOP_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_NOP_NOT_SIMD_total_count,             0
FU_REJECTED_OP_NOP_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_CF_NOT_SIMD_count,           517
FU_REJECTED_OP_CF_NOT_SIMD_pct,        0.024
FU_REJECTED_OP_CF_NOT_SIMD_total_count,           517
FU_REJECTED_OP_CF_NOT_SIMD_total_pct,        0.024

FU_REJECTED_OP_MOV_NOT_SIMD_count,            27
FU_REJECTED_OP_MOV_NOT_SIMD_pct,        0.001
FU_REJECTED_OP_MOV_NOT_SIMD_total_count,            27
FU_REJECTED_OP_MOV_NOT_SIMD_total_pct,        0.001

FU_REJECTED_OP_CMOV_NOT_SIMD_count,             0
FU_REJECTED_OP_CMOV_NOT_SIMD_pct,        0.000
FU_REJECTED_OP_CMOV_NOT_SIMD_total_count,             0
FU_REJECTED_OP_CMOV_NOT_SIMD_total_pct,        0.000

FU_REJECTED_OP_LDA_NOT_SIMD_count,            28
FU_REJECTED_OP_LDA_NOT_SIMD_pct,        0.001
FU_REJECTED_OP_LDA_NOT_SIMD_total_count,            28
